sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord,longitude,latitude
구로구,구로5동주민센터,서울특별시 구로구 구로중앙로28길 66,동주민센터,20,09:00~18:00,190219.3673,544519.7256,126.88939108208343,37.50008879380307
구로구,수궁동주민센터,서울특별시 구로구 오리로15길 32,동주민센터,20,09:00~18:00,185098.2081,543837.0028,126.83149003984678,37.49386902015565
구로구,신도림동주민센터,서울특별시 구로구 신도림로 40,동주민센터,20,09:00~18:00,189443.2105,545373.6499,126.88060131010592,37.50777413758783
구로구,오류1동주민센터,서울특별시 구로구 경인로27길 7,동주민센터,20,09:00~18:00,186304.6827,544184.7059,126.8451263780302,37.49702050925386
구로구,오류2동주민센터,서울특별시 구로구 오류로 45,동주민센터,20,09:00~18:00,185805.8369,543270.0415,126.83950283113302,37.48877181929619
구로구,항동주민센터,서울특별시 구로구 연동로 191-19,동주민센터,20,09:00~18:00,184307.464,542202.7236,126.82258314304644,37.479131008914585
금천구,독산역미세먼지안심쉼터,서울특별시 금천구 독산동 1081-4,기타,15,09:00~18:00,190216.1109,540826.6542,126.88940331404983,37.46681392851322
영등포구,당산1동공립작은도서관,서울특별시 영등포구 양산로23길 11(2층),작은도서관,16,09:00~18:00,190927.0417,547280.1101,126.89736008790881,37.52496715661629
영등포구,대림1동공립작은도서관,서울특별시 영등포구 디지털로441,작은도서관,24,09:00~18:00,191671.8916,544002.1584,126.90582347555087,37.49543972446959
영등포구,문래초등학교,서울특별시 영등포구 문래로 104,학교,21,09:00~18:00,190594.2299,546632.651,126.89360336846288,37.51913021037913
동작구,흑석역미세먼지안심스마트쉼터,서울특별시 동작구 현충로 90,기타,8,09:00~18:00,196785.2115,545512.5712,126.96363967562655,37.5090805725002
동작구,이수역미세먼지안심스마트쉼터,서울특별시 동작구 사당로 310,기타,12,09:00~18:00,198384.7869,542868.1127,126.9817372060787,37.485258012685485
동작구,이수힐스테이트앞미세먼지안심스마트쉼터,서울특별시 동작구 동작동 66-29,기타,8,09:00~18:00,198466.6252,543926.7911,126.98266032559071,37.494796925035274
관악구,국지경로당,서울특별시 관악구 국회단지21길 14,노인시설,80,09:00~18:00,194830.7918,543427.5685,126.94154919417191,37.49028570653702
